Command,Description,Option,Type,Required,Choices,Placeholder,FieldName,PathRequired,Help Description,Default Value,Validation,Group
cp,Copies files or directories,-r,checkbox,true,,,,true,"Recursively copy directories",,,"File Management"
cp,Copies files or directories,-i,checkbox,true,,,,true,"Prompt before overwrite",,,"File Management"
cp,Copies files or directories,,path,true,,/path/to/source,source,true,"Source directory path",,,"File Management"
cp,Copies files or directories,,path,true,,/path/to/destination,destination,true,"Destination directory path",,,"File Management"
rm,Removes files or directories,-r,checkbox,false,,,,true,"Remove directories recursively",,,"File Management"
rm,Removes files or directories,,path,true,,/path/to/file,source,true,"Path of the file to delete",,,"File Management"
ls,Lists directory contents,-l,checkbox,false,,,,false,"Long listing format",,,"Directory"
ls,Lists directory contents,-a,checkbox,false,,,,false,"Include hidden files",,,"Directory"
mv,Moves files or directories,-i,checkbox,true,,,,true,"Prompt before overwrite",,,"File Management"
mv,Moves files or directories,-f,checkbox,false,,,,false,"Force overwrite",,,"File Management"
mv,Moves files or directories,,path,true,,/path/to/source,source,true,"Source directory or file",,,"File Management"
mv,Moves files or directories,,path,true,,/path/to/destination,destination,true,"Destination directory or file",,,"File Management"
chmod,Changes file permissions,-r,checkbox,false,,,,false,"Recursively change file permissions",,,"File Management"
chmod,Changes file permissions,,path,true,,/path/to/file,source,true,"Path of the file to change permissions",,,"File Management"
chown,Changes file owner and group,-R,checkbox,false,,,,false,"Recursively change owner and group",,,"File Management"
chown,Changes file owner and group,,path,true,,/path/to/file,source,true,"Path of the file to change owner",,,"File Management"
touch,Changes file timestamps,-c,checkbox,false,,,,false,"Do not create any files",,,"File Management"
touch,Changes file timestamps,,path,true,,/path/to/file,source,true,"File path to create or update",,,"File Management"
df,Displays disk space usage,-h,checkbox,false,,,,false,"Human-readable output",,,"System"
df,Displays disk space usage,,path,true,,/path/to/directory,directory,true,"Path to check disk space",,,"System"
du,Estimates file space usage,-h,checkbox,false,,,,false,"Human-readable output",,,"System"
du,Estimates file space usage,-s,checkbox,false,,,,false,"Summarize total space",,,"System"
du,Estimates file space usage,,path,true,,/path/to/directory,directory,true,"Directory to check disk usage",,,"System"
ps,Reports a snapshot of current processes,-e,checkbox,false,,,,false,"Show all processes",,,"System"
ps,Reports a snapshot of current processes,-f,checkbox,false,,,,false,"Show full format",,,"System"
ps,Reports a snapshot of current processes,,path,true,,/path/to/log,log,true,"Path to save process log",,,"System"
tar,Archives files,-c,checkbox,true,,,,false,"Create a new archive",,,"File Management"
tar,Archives files,-x,checkbox,true,,,,false,"Extract an archive",,,"File Management"
tar,Archives files,,path,true,,/path/to/archive,source,true,"Archive file or directory",,,"File Management"
tar,Archives files,,path,true,,/path/to/destination,destination,true,"Destination for extracted files",,,"File Management"
wget,Downloads files from the web,-r,checkbox,false,,,,false,"Recursively download",,,"Network"
